target,source
12,3
18,1
18,9
18,3
22,1
22,8
22,11
23,1
23,8
24,1
24,3
24,12
31,13
32,1
32,3
32,8
32,11
32,9
33,1
33,8
33,11
33,9
34,18
34,24
35,1
35,11
35,10
36,18
37,24
39,32
39,36
40,10
41,14
42,3
42,9
42,18
43,1
43,10
43,11
44,1
44,3
44,11
44,9
45,23
45,32
46,32
50,1
50,33
50,36
51,19
51,20
54,32
54,34
54,46
56,14
57,14
57,35
58,14
59,14
61,10
63,10
68,14
68,56
69,14
70,63
71,32
71,34
71,46
72,1
72,8
72,32
73,1
73,8
73,11
73,32
73,17
74,3
74,9
74,35
74,23
74,33
74,34
74,32
75,32
75,46
76,32
76,1
76,8
78,11
78,17
78,35
79,1
79,3
79,11
79,9
80,9
80,13
80,18
80,19
82,14
84,1
84,33
84,34
84,46
85,32
85,46
86,32
86,1
86,8
86,11
87,1
87,8
91,32
91,36
92,18
92,36
93,14
93,36
94,5
94,17
94,36
95,19
95,80
95,37
98,14
101,42
102,42
103,14
103,82
107,10
108,10
108,35
109,14
111,57
113,3
113,9
113,18
113,1
113,8
114,14
119,46
119,34
119,33
119,71
121,33
121,24
121,3
121,9
121,12
121,18
122,32
122,10
122,11
122,17
123,1
123,3
123,8
124,73
125,73
127,3
127,9
127,12
128,36
130,36
130,18
131,33
131,23
131,36
131,32
133,130
133,91
133,93
134,37
134,35
135,35
135,52
138,14
138,10
139,14
139,82
140,14
142,69
142,56
143,98
146,68
154,10
154,35
155,10
155,35
156,108
160,9
160,33
165,1
165,8
165,32
166,32
166,46
167,32
167,46
167,34
167,33
167,71
168,32
168,11
168,10
169,32
169,1
169,8
170,32
170,8
170,11
171,1
171,8
171,32
